Date,GC1_PX_Last,GC1_Monthly_Return,GC2_PX_Last,GC2_Monthly_Return,GC1_OPEN_INT,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,SPX Index,NDX Index,DXY Curncy,USGG10YR Index,USGG2YR Index,CPI YOY Index,PCE CYOY Index,VIX Index,JPY Curncy,LEGATRUU Index,EMUSTRUU Index,PE_RATIO,fed_eff_rate,GDP_Nominoal_YOY,GDP_Real_QoQ,CPI_YoY,US_Unemp,Cons_Conf,US_RIR
1975-01-31,175.5,,178.0,,,,,,,,,,,,,,,,,,76.980003,,95.61,7.532,,11.8,10.14168,,297.97,,,,6.76,,,11.8,8.1,,-4.8026
1975-02-28,183.0,0.042735042735042805,185.9,0.044382022471910254,,,1.0,1.0,,,,,,,,,,,,,81.589996,,93.0,7.462,,11.2,10.21999,,286.45,,,,6.07,,,11.2,8.1,,-5.2288
1975-03-31,177.100006,-0.03224040437158471,179.5,-0.03442711135018828,,,-1.0,-1.0,,,,,,,,,,,,,83.360001,,94.82,8.012,,10.3,9.93721,,294.03,,,,5.39,8.4,-4.7,10.3,8.6,,-4.751
1975-04-30,166.800003,-0.05815924704147102,168.9,-0.05905292479108637,,,-1.0,-1.0,-0.05112359550561796,-0.04957263247863242,-1.0,-1.0,,,,,,,,,87.300003,,95.39,8.312,,10.2,9.65292,,292.23,,,,7.03,,,10.2,8.8,,-4.9583
1975-05-31,166.5,-0.0017985791043421129,169.0,0.000592066311426942,,,1.0,-1.0,-0.09090909090909094,-0.0901639344262295,-1.0,-1.0,,,,,,,,,91.150002,,94.63,8.042,,9.5,9.07047,,291.55,,,,5.23,,,9.5,9.0,,-4.215
1975-06-30,167.800003,0.007807825825825843,170.4,0.008284023668639007,,,1.0,1.0,-0.05069637883008349,-0.05251271984711281,-1.0,-1.0,,,,,,,,,95.190002,,95.86,7.962,,9.4,8.48877,,295.68,,,,5.97,8.0,3.1,9.4,8.8,,-2.8878
1975-07-31,167.600006,-0.0011918772134944522,170.5,0.0005868544600937664,,,1.0,-1.0,0.009473060982829962,0.004796180968893671,1.0,1.0,-0.042134831460674205,-0.04501421082621082,-1.0,-1.0,,,,,88.75,,101.25,8.202,,9.7,8.19764,,297.71,,,,6.23,,,9.7,8.6,,-3.2166
1975-08-31,160.199997,-0.044152796748706646,162.8,-0.04516129032258054,,,-1.0,-1.0,-0.0366863905325443,-0.03783785585585586,-1.0,-1.0,-0.12426035502958577,-0.12459018032786884,-1.0,-1.0,,,,,86.879997,,101.79,8.282,,8.6,7.53555,,297.97,,,,6.13,,,8.6,8.4,,-2.1
1975-09-30,140.5,-0.12297126946887516,142.2,-0.12653562653562667,,,-1.0,-1.0,-0.16549295774647899,-0.16269369792561927,-1.0,-1.0,-0.20779944289693597,-0.20666292919267326,-1.0,-1.0,,,,,83.870003,,104.24,8.482,,7.9,7.15748,,302.85,,,,6.22,9.6,6.8,7.9,8.4,,-1.4051
1975-10-31,142.800003,0.016370128113879057,144.3,0.01476793248945163,,,1.0,1.0,-0.15366568914956003,-0.1479713729843184,-1.0,-1.0,-0.1456483126110124,-0.14388488949847322,-1.0,-1.0,,,,,89.040001,,101.61,7.912,,7.4,6.85573,,301.75,,,,5.65,,,7.4,8.4,,-2.5564
1975-11-30,137.300003,-0.038515405353317766,138.8,-0.038115038115038136,,,-1.0,-1.0,-0.14742014742014742,-0.14294628232733353,-1.0,-1.0,-0.17869822485207099,-0.17537535735735732,-1.0,-1.0,,,,,91.239998,,103.53,8.142,,7.4,6.78275,,303.12,,,,5.29,,,7.4,8.3,,-2.4986
1975-12-31,141.0,0.026948265980736963,142.3,0.025216138328530313,,,1.0,1.0,0.0007032348804503208,0.003558718861210064,1.0,1.0,-0.1649061032863849,-0.15971396019581718,-1.0,-1.0,,,,,90.190002,,103.51,7.762,,6.9,6.67745,,305.16,,,,5.37,10.1,5.5,6.9,8.2,,-2.0564
1976-01-31,128.199997,-0.09078016312056736,129.0,-0.0934645115952214,,,-1.0,-1.0,-0.10602910602910609,-0.10224093622743136,-1.0,-1.0,-0.2434017595307918,-0.2350835775029746,-1.0,-1.0,-0.2752808988764045,-0.2695156866096866,-1.0,-1.0,100.860001,,103.88,7.802,,6.7,6.60439,,303.67,,,,4.84,,,6.7,7.9,,-1.9679
1976-02-29,132.600006,0.03432144386087632,133.0,0.03100775193798455,,,1.0,1.0,-0.04178674351585021,-0.03423158701606144,-1.0,-1.0,-0.18304668304668315,-0.17228459124128437,-1.0,-1.0,-0.2845615922539,-0.27540980327868847,-1.0,-1.0,99.709999,,103.66,7.772,,6.3,6.27661,,302.11,,,,4.89,,,6.3,7.7,,-1.5357
1976-03-31,129.100006,-0.026395172259645272,129.7,-0.024812030075188063,,,-1.0,-1.0,-0.0885453267744204,-0.0843971205673758,-1.0,-1.0,-0.08790436005625879,-0.08113874733096083,-1.0,-1.0,-0.2774373259052926,-0.27103330532919345,-1.0,-1.0,102.769997,,105.34,7.662,,6.1,6.0739,,299.58,,,,5.07,12.6,9.3,6.1,7.6,,-1.3221
1976-04-30,128.899994,-0.0015492795561916628,130.1,0.0030840400925211675,,,1.0,-1.0,0.008527131782945618,0.005460195135573942,1.0,1.0,-0.09840609840609849,-0.09733899655450295,-1.0,-1.0,-0.2297217288336294,-0.2272182752898393,-1.0,-1.0,101.639999,,106.23,7.672,,6.0,5.9729,,299.04,,,,5.1,,,6.0,7.7,,-1.1691
1976-05-31,126.0,-0.02249801501154447,127.3,-0.021521906225980048,,,-1.0,-1.0,-0.04285714285714293,-0.04977379865276932,-1.0,-1.0,-0.08285302593659949,-0.0823015495491286,-1.0,-1.0,-0.2467455621301775,-0.2432432432432432,-1.0,-1.0,100.18,,107.29,7.962,,6.2,6.02256,,300.03,,,,5.67,,,6.2,7.4,,-0.703
1976-06-30,123.900002,-0.016666650793650817,124.9,-0.01885310290651998,,,-1.0,-1.0,-0.03700848111025434,-0.040278882713607356,-1.0,-1.0,-0.12227687983134228,-0.12127658156028365,-1.0,-1.0,-0.267018779342723,-0.2616209786360969,-1.0,-1.0,104.279999,,106.64,7.862,7.02,6.0,5.93742,,297.97,,,,5.71,12.1,3.1,6.0,7.6,,-0.4702
1976-07-31,112.099998,-0.0952381259848567,113.1,-0.09447558046437154,,,-1.0,-1.0,-0.1306687163720215,-0.13033356696665166,-1.0,-1.0,-0.12325581395348839,-0.12558501853943094,-1.0,-1.0,-0.3366568914956012,-0.3311456206033788,-1.0,-1.0,103.440002,,106.56,7.862,6.74,5.4,5.86774,,293.26,,,,5.32,,,5.4,7.8,,-0.2205
1976-08-31,102.800003,-0.08296159826871718,103.2,-0.08753315649867366,,,-1.0,-1.0,-0.1893165750196386,-0.18412696031746034,-1.0,-1.0,-0.22406015037593985,-0.22473606072084196,-1.0,-1.0,-0.36609336609336607,-0.35830209160365956,-1.0,-1.0,102.910004,,106.13,7.662,6.5,5.7,6.11356,,289.35,,,,5.31,,,5.7,7.8,,-0.579
1976-09-30,115.699997,0.1254863192951463,116.1,0.125,,,1.0,1.0,-0.07045636509207376,-0.06618244445226085,-1.0,-1.0,-0.1048573631457208,-0.10379557224807578,-1.0,-1.0,-0.18354430379746833,-0.17651247686832738,-1.0,-1.0,105.239998,,105.5,7.552,6.33,5.5,6.15768,,286.86,,,,5.31,10.3,2.1,5.5,7.6,,-0.3645
1976-10-31,123.800003,0.07000869671586951,124.3,0.07062876830318698,,,1.0,1.0,0.09902740937223697,0.10437114369975276,1.0,1.0,-0.04458109146810141,-0.039565486713676545,-1.0,-1.0,-0.13860013860013864,-0.13305321849327967,-1.0,-1.0,102.900002,,105.94,7.422,6.03,5.5,6.14901,,294.38,,,,5.02,,,5.5,7.7,,-0.4645
1976-11-30,131.5,0.062197066344174434,132.6,0.06677393403057108,,,1.0,1.0,0.2848837209302324,0.27918284204719335,1.0,1.0,0.04163393558523176,0.04365079365079372,1.0,1.0,-0.04466858789625372,-0.04224328385484455,-1.0,-1.0,102.099998,,106.19,7.012,5.42,4.9,5.93063,,297.09,,,,4.69,,,4.9,7.8,,-0.1325
1976-12-31,135.699997,0.03193914068441073,136.7,0.030920060331824928,,,1.0,1.0,0.17743324720068898,0.1728608515002814,1.0,1.0,0.09447558046437132,0.09523805334563273,1.0,1.0,-0.03935347856640914,-0.03758867375886532,-1.0,-1.0,107.459999,,104.56,6.812,5.34,4.9,5.86239,,293.08,,,,4.17,9.8,3.0,4.9,7.8,,1.0151
