Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_vol_annualized,GC2_vol_annualized,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,GC2_3M_Fwd_Ret,GC1_3M_Fwd_Ret,GC2_3M_Fwd_Sign,GC1_3M_Fwd_Sign,GC2_6M_Fwd_Ret,GC1_6M_Fwd_Ret,GC2_6M_Fwd_Sign,GC1_6M_Fwd_Sign,GC2_12M_Fwd_Ret,GC1_12M_Fwd_Ret,GC2_12M_Fwd_Sign,GC1_12M_Fwd_Sign,GC1_OPEN_INT,GC1_sharpe_1M_Hist,GC2_sharpe_1M_Hist,GC1_vol_monthly,GC2_vol_monthly,GC1_sharpe_1M_Fwd,GC2_sharpe_1M_Fwd
1975-01-31,0.0022817693479817436,-0.0011229647446242552,,,,-1.0,1.0,,,,,,,,,,,,,0.007268692891623907,0.011357305110012206,1.0,1.0,-0.04475790064149354,-0.04258446164640706,-1.0,-1.0,-0.22496900994090296,-0.21659738317977073,-1.0,-1.0,,,,,,,
1975-02-28,0.04184710993550045,0.04342534443531321,,,,1.0,1.0,,,,,,,,,,,,,-0.05247672647833035,-0.0508435349956633,-1.0,-1.0,-0.043048253568513495,-0.046058819058416134,-1.0,-1.0,-0.3219711459304131,-0.31404752182028783,-1.0,-1.0,,,,,,,
1975-03-31,-0.032771574173469986,-0.035033686799065045,0.1622286632481715,0.1611819090662463,,-1.0,-1.0,0.007268692891623907,0.011357305110012206,1.0,1.0,,,,,,,,,-0.09531017980432477,-0.09449084342092284,-1.0,-1.0,-0.1326864411589579,-0.13306313693375404,-1.0,-1.0,-0.33485976650564453,-0.32214902984079163,-1.0,-1.0,,-0.6997780833049159,-0.7529396551258862,0.046831381198302484,0.04652920929394754,,
1975-04-30,-0.05991907075769376,-0.06086838411457851,0.17143026960771654,0.17216450007794423,,-1.0,-1.0,-0.05247672647833035,-0.0508435349956633,-1.0,-1.0,,,,,,,,,-0.05202659353311745,-0.05394176675641926,-1.0,-1.0,-0.2329406905591931,-0.23150708989415048,-1.0,-1.0,-0.3249511166059351,-0.3161272343397554,-1.0,-1.0,,-1.2107882129815961,-1.2247255829551178,0.049487656152632634,0.049699610232449225,-0.6997780833049159,-0.7529396551258862
1975-05-31,-0.0018001984897590972,0.0005918911093187873,0.17618481390191182,0.18102496843161014,,1.0,-1.0,-0.09531017980432477,-0.09449084342092284,-1.0,-1.0,,,,,,,,,0.009428472909816854,0.004784715937247164,1.0,1.0,-0.1574123580339295,-0.15535043699637008,-1.0,-1.0,-0.2610034382952948,-0.2577586445128288,-1.0,-1.0,,-0.035395051127476124,0.01132645383419306,0.05086017486669646,0.05225740712701681,-1.2107882129815961,-1.2247255829551178
1975-06-30,0.007777502491033594,0.008249899472142275,0.16887660930735734,0.1708652330146889,,1.0,1.0,-0.05202659353311745,-0.05394176675641926,-1.0,-1.0,-0.04475790064149354,-0.04258446164640706,-1.0,-1.0,,,,,-0.03737626135463312,-0.0385722935128312,-1.0,-1.0,-0.1968646668503693,-0.19282697479660982,-1.0,-1.0,-0.2833522093597125,-0.27871340246902054,-1.0,-1.0,,0.15953694861253714,0.16725749049085564,0.048750477921717016,0.049324544138089385,-0.035395051127476124,0.01132645383419306
1975-07-31,-0.0011925880640273334,0.000586682328355792,0.14826988577270278,0.1596113678556421,,1.0,-1.0,0.009428472909816854,0.004784715937247164,1.0,1.0,-0.043048253568513495,-0.046058819058416134,-1.0,-1.0,,,,,-0.18091409702607564,-0.1775653231377312,-1.0,-1.0,-0.18021110929940942,-0.17401292153336367,-1.0,-1.0,-0.31063519726368405,-0.3032980071343854,-1.0,-1.0,,-0.027863016264302515,0.012732972773394078,0.04280182923179251,0.046075833098589675,0.15953694861253714,0.16725749049085564
1975-08-31,-0.04515720793983746,-0.04621284315513119,0.14739090953164188,0.1557152579714206,,-1.0,-1.0,-0.03737626135463312,-0.0385722935128312,-1.0,-1.0,-0.1326864411589579,-0.13306313693375404,-1.0,-1.0,,,,,-0.16684083094374635,-0.16013515293361724,-1.0,-1.0,-0.2789228923618996,-0.2679887027618717,-1.0,-1.0,-0.41046291360149656,-0.40218891161060366,-1.0,-1.0,,-1.0613216069877103,-1.028068711437252,0.042548090647098614,0.044951123053365856,-0.027863016264302515,0.012732972773394078
1975-09-30,-0.13121552713386642,-0.13528793619930024,0.18521512615825164,0.19030448539289288,,-1.0,-1.0,-0.18091409702607564,-0.1775653231377312,-1.0,-1.0,-0.2329406905591931,-0.23150708989415048,-1.0,-1.0,,,,,-0.15948840549573617,-0.15425468128377862,-1.0,-1.0,-0.20217332534668664,-0.1890858929070376,-1.0,-1.0,-0.4558536005209781,-0.443637633703724,-1.0,-1.0,,-2.4541403766731595,-2.462638530716164,0.053467001472728544,0.05493617293478996,-1.0613216069877103,-1.028068711437252
1975-10-31,0.016237582140086637,0.014659948410685075,0.28717827577890276,0.25222298013124184,,1.0,1.0,-0.16684083094374635,-0.16013515293361724,-1.0,-1.0,-0.1574123580339295,-0.15535043699637008,-1.0,-1.0,,,,,0.0007029877266662155,0.003552401604367539,1.0,1.0,-0.09201042604674203,-0.08462014444560495,-1.0,-1.0,-0.20278262866529406,-0.19420688050329726,-1.0,-1.0,,0.19586660712703644,0.20134387017735492,0.08290122741318105,0.07281050273729106,-2.4541403766731595,-2.462638530716164
