Date,GC1_Monthly_Return,GC2_Monthly_Return,GC1_volatility,GC2_volatility,GC2_OPEN_INT,GC2_1M_Sign,GC1_1M_Sign,GC2_3M_Ret,GC1_3M_Ret,GC2_3M_Sign,GC1_3M_Sign,GC2_6M_Ret,GC1_6M_Ret,GC2_6M_Sign,GC1_6M_Sign,GC2_12M_Ret,GC1_12M_Ret,GC2_12M_Sign,GC1_12M_Sign,GC2_3M_Fwd_Ret,GC1_3M_Fwd_Ret,GC2_3M_Fwd_Sign,GC1_3M_Fwd_Sign,GC2_6M_Fwd_Ret,GC1_6M_Fwd_Ret,GC2_6M_Fwd_Sign,GC1_6M_Fwd_Sign,GC2_12M_Fwd_Ret,GC1_12M_Fwd_Ret,GC2_12M_Fwd_Sign,GC1_12M_Fwd_Sign,GC1_OPEN_INT,GC1_sharpe,GC2_sharpe
1975-01-31,0.0022817693479817436,-0.0011229647446242552,,,,-1.0,1.0,,,,,,,,,,,,,0.007268692891623907,0.011357305110012206,1.0,1.0,-0.04475790064149354,-0.04258446164640706,-1.0,-1.0,-0.22496900994090296,-0.21659738317977073,-1.0,-1.0,,,
1975-02-28,0.04184710993550045,0.04342534443531321,,,,1.0,1.0,,,,,,,,,,,,,-0.05247672647833035,-0.0508435349956633,-1.0,-1.0,-0.043048253568513495,-0.046058819058416134,-1.0,-1.0,-0.3219711459304131,-0.31404752182028783,-1.0,-1.0,,,
1975-03-31,-0.032771574173469986,-0.035033686799065045,0.1622286632481715,0.16118190906624627,,-1.0,-1.0,0.007268692891623907,0.011357305110012206,1.0,1.0,,,,,,,,,-0.09531017980432477,-0.09449084342092284,-1.0,-1.0,-0.1326864411589579,-0.13306313693375404,-1.0,-1.0,-0.33485976650564453,-0.32214902984079163,-1.0,-1.0,,-2.4241023886145614,-2.608259475422847
1975-04-30,-0.05991907075769376,-0.06086838411457851,0.17143026960771654,0.17216450007794423,,-1.0,-1.0,-0.05247672647833035,-0.0508435349956633,-1.0,-1.0,,,,,,,,,-0.05202659353311745,-0.05394176675641926,-1.0,-1.0,-0.2329406905591931,-0.23150708989415048,-1.0,-1.0,-0.3249511166059351,-0.3161272343397554,-1.0,-1.0,,-4.194293404179303,-4.2425738700153515
1975-05-31,-0.0018001984897590972,0.0005918911093187873,0.17618481390191185,0.18102496843161014,,1.0,-1.0,-0.09531017980432477,-0.09449084342092284,-1.0,-1.0,,,,,,,,,0.009428472909816854,0.004784715937247164,1.0,1.0,-0.1574123580339295,-0.15535043699637008,-1.0,-1.0,-0.2610034382952948,-0.2577586445128288,-1.0,-1.0,,-0.12261205377857343,0.039235987020811394
1975-06-30,0.007777502491033594,0.008249899472142275,0.16887660930735743,0.1708652330146889,,1.0,1.0,-0.05202659353311745,-0.05394176675641926,-1.0,-1.0,-0.04475790064149354,-0.04258446164640706,-1.0,-1.0,,,,,-0.03737626135463312,-0.0385722935128312,-1.0,-1.0,-0.1968646668503693,-0.19282697479660982,-1.0,-1.0,-0.2833522093597125,-0.27871340246902054,-1.0,-1.0,,0.5526522013628387,0.5793969429532607
1975-07-31,-0.0011925880640273334,0.000586682328355792,0.1482698857727028,0.1596113678556421,,1.0,-1.0,0.009428472909816854,0.004784715937247164,1.0,1.0,-0.043048253568513495,-0.046058819058416134,-1.0,-1.0,,,,,-0.18091409702607564,-0.1775653231377312,-1.0,-1.0,-0.18021110929940942,-0.17401292153336367,-1.0,-1.0,-0.31063519726368405,-0.3032980071343854,-1.0,-1.0,,-0.09652031964377984,0.044108311549819486
1975-08-31,-0.04515720793983746,-0.04621284315513119,0.14739090953164188,0.1557152579714206,,-1.0,-1.0,-0.03737626135463312,-0.0385722935128312,-1.0,-1.0,-0.1326864411589579,-0.13306313693375404,-1.0,-1.0,,,,,-0.16684083094374635,-0.16013515293361724,-1.0,-1.0,-0.2789228923618996,-0.2679887027618717,-1.0,-1.0,-0.41046291360149656,-0.40218891161060366,-1.0,-1.0,,-3.6765258929467244,-3.561334483762375
1975-09-30,-0.13121552713386642,-0.13528793619930024,0.18521512615825164,0.19030448539289288,,-1.0,-1.0,-0.18091409702607564,-0.1775653231377312,-1.0,-1.0,-0.2329406905591931,-0.23150708989415048,-1.0,-1.0,,,,,-0.15948840549573617,-0.15425468128377862,-1.0,-1.0,-0.20217332534668664,-0.1890858929070376,-1.0,-1.0,-0.4558536005209781,-0.443637633703724,-1.0,-1.0,,-8.50139164260827,-8.530830111754332
1975-10-31,0.016237582140086637,0.014659948410685075,0.2871782757789028,0.25222298013124195,,1.0,1.0,-0.16684083094374635,-0.16013515293361724,-1.0,-1.0,-0.1574123580339295,-0.15535043699637008,-1.0,-1.0,,,,,0.0007029877266662155,0.003552401604367539,1.0,1.0,-0.09201042604674203,-0.08462014444560495,-1.0,-1.0,-0.20278262866529406,-0.19420688050329726,-1.0,-1.0,,0.678501830100319,0.6974756258794613
1975-11-30,-0.03927673628999884,-0.03886041770712101,0.2655242249209603,0.21441783339345286,,-1.0,-1.0,-0.15948840549573617,-0.15425468128377862,-1.0,-1.0,-0.1968646668503693,-0.19282697479660982,-1.0,-1.0,,,,,-0.11208206141815324,-0.10785354982825446,-1.0,-1.0,-0.10359108026136532,-0.10240820751645874,-1.0,-1.0,-0.1491964672631596,-0.14277768643075905,-1.0,-1.0,,-1.7750577583656861,-2.174842479775244
1975-12-31,0.02659155575427974,0.02490345702310215,0.23989111755837042,0.20501573572971943,,1.0,1.0,0.0007029877266662155,0.003552401604367539,1.0,1.0,-0.18021110929940942,-0.17401292153336367,-1.0,-1.0,-0.22496900994090296,-0.21659738317977073,-1.0,-1.0,-0.042684919850950465,-0.03483121162325897,-1.0,-1.0,-0.08648754250934321,-0.08588642767241073,-1.0,-1.0,-0.04569697032094222,-0.04316148300606937,-1.0,-1.0,,1.3301812601448806,1.4576514491121826
